material_id,unit_price,stock_qty,incoming_qty,incoming_order_date,lead_time
SKU0001,69.81,58,0,,10
SKU0002,14.84,53,37,2026-05-08,10
SKU0003,11.32,1,88,2026-05-14,10
SKU0004,61.16,23,0,,10
SKU0005,4.81,5,0,,5
SKU0006,1.7,90,0,,10
SKU0007,4.08,11,0,,10
SKU0008,42.96,93,11,2026-05-11,10
SKU0009,68.72,5,0,,10
SKU0010,64.02,14,83,2026-05-11,10
SKU0011,15.71,51,0,,10
SKU0012,90.64,46,60,2026-05-10,10
SKU0013,71.21,100,85,2026-05-14,3
SKU0014,16.16,80,0,,10
SKU0015,99.17,54,0,,10
SKU0016,36.99,9,0,,10
SKU0017,7.55,2,0,,3
SKU0018,81.46,45,0,,7
SKU0019,36.44,10,0,,10
SKU0020,51.12,48,0,,10
SKU0021,96.34,27,0,,10
SKU0022,84.89,69,0,,10
SKU0023,27.68,71,0,,10
SKU0024,4.32,84,0,,10
SKU0025,4.16,4,0,,10
SKU0026,39.63,82,52,2026-05-08,10
SKU0027,97.45,59,0,,10
SKU0028,92.56,47,0,,10
SKU0029,2.4,48,0,,10
SKU0030,63.45,45,0,,10
SKU0031,8.02,60,0,,10
SKU0032,50.85,6,0,,10
SKU0033,79.21,89,0,,10
SKU0034,64.8,4,95,2026-05-14,1
SKU0035,37.47,1,21,2026-05-14,4
SKU0036,84.96,42,85,2026-05-14,3
SKU0037,9.81,18,0,,10
SKU0038,23.4,25,0,,10
SKU0039,52.08,69,88,2026-05-11,10
SKU0040,19.13,78,0,,10
SKU0041,80.54,90,0,,10
SKU0042,99.11,64,0,,10
SKU0043,46.53,22,0,,10
SKU0044,11.74,36,85,2026-05-14,1
SKU0045,51.36,13,0,,7
SKU0046,33.78,93,52,2026-05-08,10
SKU0047,27.08,92,0,,10
SKU0048,95.71,4,0,,10
SKU0049,76.04,30,0,,9
SKU0050,78.9,97,0,,10
SKU0051,14.2,31,82,2026-05-12,10
SKU0052,26.7,100,52,2026-05-09,10
SKU0053,98.03,64,11,2026-05-13,10
SKU0054,30.34,96,54,2026-05-14,1
SKU0055,31.15,33,0,,10
SKU0056,79.86,97,11,2026-05-06,10
SKU0057,20.99,25,0,,10
SKU0058,49.26,5,0,,10
SKU0059,59.84,10,0,,10
SKU0060,63.83,100,0,,10
SKU0061,17.03,41,0,,10
SKU0062,52.03,32,0,,10
SKU0063,72.8,86,40,2026-05-10,10
SKU0064,13.02,54,0,,10
SKU0065,89.63,73,0,,10
SKU0066,33.7,57,0,,10
SKU0067,26.03,13,0,,10
SKU0068,87.76,12,71,2026-05-09,10
SKU0069,37.93,0,0,,2
SKU0070,54.87,95,27,2026-05-11,9
SKU0071,47.91,10,22,2026-05-11,10
SKU0072,6.38,76,0,,2
SKU0073,90.2,57,0,,10
SKU0074,83.85,17,66,2026-05-08,10
SKU0075,3.17,41,1,2026-05-14,1
SKU0076,93.0,16,56,2026-05-06,10
SKU0077,69.11,38,22,2026-05-08,10
SKU0078,57.45,96,0,,10
SKU0079,6.31,5,0,,10
SKU0080,57.06,31,0,,5
SKU0081,91.13,39,41,2026-05-09,8
SKU0082,72.82,48,0,,10
SKU0083,17.03,42,0,,6
SKU0084,68.91,65,0,,10
SKU0085,89.1,73,0,,10
SKU0086,76.96,15,0,,4
SKU0087,20.0,32,22,2026-05-14,4
SKU0088,80.41,5,0,,10
SKU0089,75.27,60,85,2026-05-14,10
SKU0090,97.76,90,0,,10
SKU0091,13.88,66,0,,8
SKU0092,62.11,98,85,2026-05-14,5
SKU0093,47.71,90,10,2026-05-12,4
SKU0094,69.29,63,0,,10
SKU0095,3.04,77,72,2026-05-06,10
SKU0096,77.9,15,0,,10
SKU0097,24.42,67,0,,10
SKU0098,3.53,46,0,,10
SKU0099,19.75,53,0,,10
SKU0100,68.52,55,0,,10
