order_id,product_id,order_qty,order_date,due_date
ORD000027,PRD0013,43,2026-05-04,2026-05-22
ORD000079,PRD0005,36,2026-05-04,2026-05-22
ORD000082,PRD0007,25,2026-05-04,2026-05-26
ORD000108,PRD0005,63,2026-05-04,2026-05-27
ORD000012,PRD0018,53,2026-05-04,2026-05-28
ORD000016,PRD0006,59,2026-05-04,2026-05-28
ORD000065,PRD0005,55,2026-05-04,2026-05-28
ORD000102,PRD0001,33,2026-05-04,2026-05-28
ORD000124,PRD0005,47,2026-05-04,2026-05-28
ORD000148,PRD0017,60,2026-05-04,2026-05-28
ORD000028,PRD0005,51,2026-05-04,2026-05-29
ORD000033,PRD0013,40,2026-05-04,2026-05-29
ORD000125,PRD0001,70,2026-05-04,2026-05-29
ORD000150,PRD0012,32,2026-05-04,2026-05-29
ORD000021,PRD0005,59,2026-05-04,2026-06-01
ORD000105,PRD0001,22,2026-05-04,2026-06-02
ORD000122,PRD0015,19,2026-05-05,2026-05-26
ORD000143,PRD0015,50,2026-05-05,2026-05-26
ORD000071,PRD0012,31,2026-05-05,2026-05-27
ORD000061,PRD0017,54,2026-05-05,2026-05-28
ORD000096,PRD0019,42,2026-05-05,2026-05-28
ORD000073,PRD0014,36,2026-05-05,2026-05-29
ORD000015,PRD0001,27,2026-05-05,2026-06-01
ORD000025,PRD0002,28,2026-05-06,2026-05-25
ORD000013,PRD0002,23,2026-05-06,2026-05-26
ORD000036,PRD0003,29,2026-05-06,2026-05-26
ORD000040,PRD0001,57,2026-05-06,2026-05-26
ORD000044,PRD0012,17,2026-05-06,2026-05-26
ORD000088,PRD0005,33,2026-05-06,2026-05-27
ORD000032,PRD0013,71,2026-05-06,2026-05-28
ORD000103,PRD0012,76,2026-05-06,2026-05-28
ORD000118,PRD0012,26,2026-05-06,2026-05-28
ORD000077,PRD0014,57,2026-05-06,2026-05-29
ORD000129,PRD0009,27,2026-05-06,2026-05-29
ORD000059,PRD0005,20,2026-05-06,2026-06-01
ORD000011,PRD0012,78,2026-05-06,2026-06-02
ORD000093,PRD0009,33,2026-05-06,2026-06-02
ORD000095,PRD0006,30,2026-05-06,2026-06-03
ORD000119,PRD0012,40,2026-05-06,2026-06-04
ORD000117,PRD0006,5,2026-05-07,2026-05-25
ORD000039,PRD0006,40,2026-05-07,2026-05-26
ORD000014,PRD0005,56,2026-05-07,2026-05-27
ORD000081,PRD0005,46,2026-05-07,2026-05-27
ORD000146,PRD0005,36,2026-05-07,2026-05-27
ORD000002,PRD0013,21,2026-05-07,2026-05-28
ORD000029,PRD0001,49,2026-05-07,2026-05-28
ORD000046,PRD0008,60,2026-05-07,2026-05-28
ORD000085,PRD0001,31,2026-05-07,2026-05-28
ORD000086,PRD0009,48,2026-05-07,2026-05-28
ORD000120,PRD0009,22,2026-05-07,2026-05-28
ORD000139,PRD0018,83,2026-05-07,2026-05-28
ORD000034,PRD0002,93,2026-05-07,2026-05-29
ORD000048,PRD0013,22,2026-05-07,2026-06-01
ORD000098,PRD0005,60,2026-05-07,2026-06-01
ORD000006,PRD0005,51,2026-05-07,2026-06-03
ORD000115,PRD0005,28,2026-05-08,2026-05-21
ORD000043,PRD0013,29,2026-05-08,2026-05-22
ORD000126,PRD0012,19,2026-05-08,2026-05-22
ORD000004,PRD0009,50,2026-05-08,2026-05-25
ORD000113,PRD0013,52,2026-05-08,2026-05-25
ORD000136,PRD0003,56,2026-05-08,2026-05-25
ORD000020,PRD0006,52,2026-05-08,2026-05-27
ORD000049,PRD0013,48,2026-05-08,2026-05-27
ORD000144,PRD0009,33,2026-05-08,2026-05-27
ORD000008,PRD0014,49,2026-05-08,2026-05-28
ORD000047,PRD0003,48,2026-05-08,2026-05-28
ORD000075,PRD0017,86,2026-05-08,2026-05-28
ORD000110,PRD0008,36,2026-05-08,2026-05-28
ORD000042,PRD0006,43,2026-05-08,2026-05-29
ORD000058,PRD0012,63,2026-05-08,2026-05-29
ORD000053,PRD0009,46,2026-05-08,2026-06-01
ORD000074,PRD0005,46,2026-05-08,2026-06-01
ORD000116,PRD0013,43,2026-05-08,2026-06-01
ORD000066,PRD0002,65,2026-05-11,2026-05-25
ORD000109,PRD0004,17,2026-05-11,2026-05-25
ORD000127,PRD0013,65,2026-05-11,2026-05-25
ORD000128,PRD0001,45,2026-05-11,2026-05-25
ORD000114,PRD0013,58,2026-05-11,2026-05-27
ORD000134,PRD0006,38,2026-05-11,2026-05-27
ORD000087,PRD0007,45,2026-05-11,2026-05-28
ORD000080,PRD0003,64,2026-05-11,2026-05-29
ORD000089,PRD0003,83,2026-05-11,2026-05-29
ORD000111,PRD0019,67,2026-05-11,2026-05-29
ORD000147,PRD0002,34,2026-05-11,2026-05-29
ORD000076,PRD0009,11,2026-05-11,2026-06-01
ORD000031,PRD0013,45,2026-05-11,2026-06-02
ORD000023,PRD0003,40,2026-05-12,2026-05-22
ORD000101,PRD0005,36,2026-05-12,2026-05-22
ORD000052,PRD0008,47,2026-05-12,2026-05-25
ORD000038,PRD0012,53,2026-05-12,2026-05-26
ORD000090,PRD0006,56,2026-05-12,2026-05-26
ORD000056,PRD0003,55,2026-05-12,2026-05-27
ORD000022,PRD0009,79,2026-05-12,2026-05-28
ORD000083,PRD0015,32,2026-05-12,2026-05-28
ORD000094,PRD0013,60,2026-05-12,2026-05-28
ORD000019,PRD0015,62,2026-05-12,2026-05-29
ORD000067,PRD0005,62,2026-05-12,2026-05-29
ORD000050,PRD0009,51,2026-05-12,2026-06-01
ORD000130,PRD0005,53,2026-05-12,2026-06-01
ORD000060,PRD0009,28,2026-05-12,2026-06-02
ORD000017,PRD0006,65,2026-05-12,2026-06-04
ORD000078,PRD0017,15,2026-05-13,2026-05-22
ORD000010,PRD0017,32,2026-05-13,2026-05-25
ORD000141,PRD0005,42,2026-05-13,2026-05-25
ORD000001,PRD0005,22,2026-05-13,2026-05-27
ORD000018,PRD0005,30,2026-05-13,2026-05-27
ORD000099,PRD0008,23,2026-05-13,2026-05-27
ORD000107,PRD0017,83,2026-05-13,2026-05-27
ORD000135,PRD0018,47,2026-05-13,2026-05-27
ORD000068,PRD0004,56,2026-05-13,2026-05-28
ORD000137,PRD0006,73,2026-05-13,2026-05-29
ORD000133,PRD0013,46,2026-05-13,2026-06-01
ORD000026,PRD0020,30,2026-05-14,2026-05-21
ORD000045,PRD0017,36,2026-05-14,2026-05-21
ORD000005,PRD0009,49,2026-05-14,2026-05-22
ORD000024,PRD0014,31,2026-05-14,2026-05-22
ORD000106,PRD0005,61,2026-05-14,2026-05-25
ORD000003,PRD0005,54,2026-05-14,2026-05-26
ORD000037,PRD0016,25,2026-05-14,2026-05-26
ORD000035,PRD0006,56,2026-05-14,2026-05-27
ORD000084,PRD0016,57,2026-05-14,2026-05-27
ORD000100,PRD0005,38,2026-05-14,2026-05-27
ORD000104,PRD0008,52,2026-05-14,2026-05-27
ORD000145,PRD0009,41,2026-05-14,2026-05-28
ORD000149,PRD0017,51,2026-05-14,2026-05-28
ORD000030,PRD0015,59,2026-05-14,2026-05-29
ORD000123,PRD0005,37,2026-05-14,2026-05-29
ORD000131,PRD0013,48,2026-05-14,2026-05-29
ORD000009,PRD0018,50,2026-05-14,2026-06-02
ORD000070,PRD0014,58,2026-05-14,2026-06-02
ORD000121,PRD0002,74,2026-05-14,2026-06-02
ORD000051,PRD0013,29,2026-05-14,2026-06-03
ORD000062,PRD0005,54,2026-05-14,2026-06-04
ORD000132,PRD0004,34,2026-05-15,2026-05-22
ORD000097,PRD0019,54,2026-05-15,2026-05-26
ORD000138,PRD0003,22,2026-05-15,2026-05-26
ORD000007,PRD0019,32,2026-05-15,2026-05-27
ORD000092,PRD0005,48,2026-05-15,2026-05-27
ORD000054,PRD0007,24,2026-05-15,2026-05-28
ORD000055,PRD0001,51,2026-05-15,2026-05-28
ORD000063,PRD0007,54,2026-05-15,2026-05-28
ORD000069,PRD0018,39,2026-05-15,2026-05-28
ORD000072,PRD0016,40,2026-05-15,2026-05-28
ORD000112,PRD0005,32,2026-05-15,2026-05-28
ORD000142,PRD0013,55,2026-05-15,2026-05-28
ORD000064,PRD0013,114,2026-05-15,2026-05-29
ORD000091,PRD0019,8,2026-05-15,2026-05-29
ORD000057,PRD0001,64,2026-05-15,2026-06-01
ORD000140,PRD0016,9,2026-05-15,2026-06-01
ORD000041,PRD0005,53,2026-05-15,2026-06-02
