product_id,process_id,material_id,process_step,required_material_qty,standard_cycle_time
PRD0001,A,SKU0070,1,4,71.17
PRD0001,A,SKU0072,1,2,71.17
PRD0001,B,SKU0016,2,4,67.14
PRD0001,B,SKU0054,2,4,67.14
PRD0001,B,SKU0087,2,2,67.14
PRD0001,B,SKU0089,2,2,67.14
PRD0001,C,SKU0020,3,1,76.65
PRD0001,C,SKU0023,3,1,76.65
PRD0001,C,SKU0074,3,2,76.65
PRD0001,D,SKU0011,4,1,70.88
PRD0001,D,SKU0089,4,1,70.88
PRD0001,E,SKU0060,5,4,65.2
PRD0001,E,SKU0078,5,5,65.2
PRD0002,A,SKU0071,1,4,64.13
PRD0002,A,SKU0074,1,4,64.13
PRD0002,A,SKU0089,1,4,64.13
PRD0002,A,SKU0100,1,5,64.13
PRD0002,B,SKU0001,2,2,71.94
PRD0002,B,SKU0011,2,3,71.94
PRD0002,B,SKU0025,2,3,71.94
PRD0002,B,SKU0032,2,4,71.94
PRD0002,C,SKU0005,3,1,67.61
PRD0002,C,SKU0043,3,2,67.61
PRD0002,D,SKU0010,4,2,70.16
PRD0002,D,SKU0032,4,1,70.16
PRD0002,D,SKU0054,4,2,70.16
PRD0002,D,SKU0056,4,2,70.16
PRD0002,E,SKU0011,5,5,69.92
PRD0002,E,SKU0023,5,5,69.92
PRD0002,E,SKU0046,5,5,69.92
PRD0002,E,SKU0082,5,3,69.92
PRD0003,A,SKU0023,1,2,65.54
PRD0003,A,SKU0036,1,5,65.54
PRD0003,B,SKU0045,2,4,73.4
PRD0003,B,SKU0056,2,2,73.4
PRD0003,B,SKU0060,2,2,73.4
PRD0003,B,SKU0089,2,4,73.4
PRD0003,C,SKU0023,3,3,76.87
PRD0003,C,SKU0054,3,3,76.87
PRD0003,C,SKU0081,3,1,76.87
PRD0003,C,SKU0097,3,3,76.87
PRD0003,D,SKU0010,4,1,69.21
PRD0003,D,SKU0014,4,2,69.21
PRD0003,E,SKU0016,5,4,65.83
PRD0003,E,SKU0059,5,5,65.83
PRD0004,A,SKU0001,1,2,70.71
PRD0004,A,SKU0019,1,2,70.71
PRD0004,A,SKU0027,1,2,70.71
PRD0004,A,SKU0084,1,3,70.71
PRD0004,B,SKU0034,2,2,70.31
PRD0004,B,SKU0070,2,3,70.31
PRD0004,B,SKU0099,2,3,70.31
PRD0004,C,SKU0016,3,2,67.55
PRD0004,C,SKU0019,3,2,67.55
PRD0004,C,SKU0090,3,2,67.55
PRD0004,D,SKU0001,4,2,80.43
PRD0004,D,SKU0037,4,1,80.43
PRD0004,D,SKU0081,4,1,80.43
PRD0004,E,SKU0010,5,5,77.22
PRD0004,E,SKU0067,5,6,77.22
PRD0004,E,SKU0070,5,3,77.22
PRD0004,E,SKU0071,5,6,77.22
PRD0005,A,SKU0013,1,2,73.78
PRD0005,A,SKU0031,1,5,73.78
PRD0005,A,SKU0065,1,5,73.78
PRD0005,A,SKU0073,1,2,73.78
PRD0005,B,SKU0001,2,2,75.48
PRD0005,B,SKU0023,2,3,75.48
PRD0005,B,SKU0049,2,3,75.48
PRD0005,B,SKU0054,2,4,75.48
PRD0005,C,SKU0005,3,1,66.36
PRD0005,C,SKU0054,3,1,66.36
PRD0005,C,SKU0089,3,3,66.36
PRD0005,D,SKU0011,4,2,70.47
PRD0005,D,SKU0023,4,2,70.47
PRD0005,D,SKU0073,4,1,70.47
PRD0005,D,SKU0099,4,1,70.47
PRD0005,E,SKU0001,5,5,64.02
PRD0005,E,SKU0018,5,3,64.02
PRD0005,E,SKU0040,5,5,64.02
PRD0006,A,SKU0067,1,4,74.37
PRD0006,A,SKU0071,1,2,74.37
PRD0006,B,SKU0044,2,4,71.56
PRD0006,B,SKU0074,2,4,71.56
PRD0006,C,SKU0001,3,3,71.21
PRD0006,C,SKU0023,3,1,71.21
PRD0006,C,SKU0027,3,2,71.21
PRD0006,C,SKU0040,3,3,71.21
PRD0006,D,SKU0031,4,1,77.49
PRD0006,D,SKU0040,4,1,77.49
PRD0006,D,SKU0054,4,1,77.49
PRD0006,D,SKU0071,4,2,77.49
PRD0006,E,SKU0044,5,3,76.89
PRD0006,E,SKU0071,5,6,76.89
PRD0006,E,SKU0078,5,4,76.89
PRD0007,A,SKU0016,1,3,64.27
PRD0007,A,SKU0023,1,5,64.27
PRD0007,A,SKU0057,1,4,64.27
PRD0007,A,SKU0097,1,2,64.27
PRD0007,B,SKU0008,2,2,66.34
PRD0007,B,SKU0045,2,4,66.34
PRD0007,B,SKU0077,2,2,66.34
PRD0007,C,SKU0013,3,2,67.47
PRD0007,C,SKU0027,3,2,67.47
PRD0007,C,SKU0073,3,3,67.47
PRD0007,D,SKU0040,4,2,74.5
PRD0007,D,SKU0043,4,2,74.5
PRD0007,D,SKU0078,4,2,74.5
PRD0007,D,SKU0097,4,1,74.5
PRD0007,E,SKU0011,5,3,66.81
PRD0007,E,SKU0056,5,6,66.81
PRD0007,E,SKU0087,5,6,66.81
PRD0007,E,SKU0097,5,6,66.81
PRD0008,A,SKU0013,1,2,75.68
PRD0008,A,SKU0021,1,2,75.68
PRD0008,A,SKU0038,1,3,75.68
PRD0008,A,SKU0050,1,4,75.68
PRD0008,B,SKU0018,2,3,75.05
PRD0008,B,SKU0090,2,2,75.05
PRD0008,C,SKU0007,3,1,72.63
PRD0008,C,SKU0067,3,3,72.63
PRD0008,D,SKU0087,4,1,67.06
PRD0008,D,SKU0089,4,2,67.06
PRD0008,D,SKU0094,4,2,67.06
PRD0008,E,SKU0018,5,4,77.3
PRD0008,E,SKU0019,5,4,77.3
PRD0008,E,SKU0052,5,5,77.3
PRD0008,E,SKU0080,5,5,77.3
PRD0009,A,SKU0038,1,3,74.3
PRD0009,A,SKU0054,1,5,74.3
PRD0009,A,SKU0066,1,5,74.3
PRD0009,A,SKU0093,1,5,74.3
PRD0009,B,SKU0067,2,4,73.23
PRD0009,B,SKU0089,2,3,73.23
PRD0009,B,SKU0095,2,4,73.23
PRD0009,B,SKU0100,2,4,73.23
PRD0009,C,SKU0005,3,1,74.79
PRD0009,C,SKU0089,3,1,74.79
PRD0009,D,SKU0074,4,1,67.3
PRD0009,D,SKU0091,4,1,67.3
PRD0009,E,SKU0026,5,4,66.05
PRD0009,E,SKU0052,5,6,66.05
PRD0010,A,SKU0004,1,5,73.22
PRD0010,A,SKU0055,1,2,73.22
PRD0010,A,SKU0080,1,5,73.22
PRD0010,A,SKU0083,1,2,73.22
PRD0010,B,SKU0019,2,4,75.27
PRD0010,B,SKU0056,2,3,75.27
PRD0010,B,SKU0067,2,4,75.27
PRD0010,B,SKU0083,2,3,75.27
PRD0010,C,SKU0010,3,2,70.87
PRD0010,C,SKU0026,3,3,70.87
PRD0010,C,SKU0080,3,2,70.87
PRD0010,C,SKU0084,3,1,70.87
PRD0010,D,SKU0054,4,1,67.77
PRD0010,D,SKU0056,4,1,67.77
PRD0010,D,SKU0077,4,1,67.77
PRD0010,D,SKU0080,4,1,67.77
PRD0010,E,SKU0067,5,3,65.29
PRD0010,E,SKU0075,5,6,65.29
PRD0011,A,SKU0010,1,5,76.89
PRD0011,A,SKU0032,1,4,76.89
PRD0011,B,SKU0025,2,3,75.97
PRD0011,B,SKU0057,2,4,75.97
PRD0011,B,SKU0083,2,3,75.97
PRD0011,C,SKU0017,3,3,67.27
PRD0011,C,SKU0031,3,2,67.27
PRD0011,C,SKU0088,3,1,67.27
PRD0011,D,SKU0056,4,2,74.1
PRD0011,D,SKU0060,4,2,74.1
PRD0011,D,SKU0070,4,1,74.1
PRD0011,D,SKU0088,4,2,74.1
PRD0011,E,SKU0021,5,4,65.83
PRD0011,E,SKU0032,5,5,65.83
PRD0011,E,SKU0080,5,6,65.83
PRD0011,E,SKU0094,5,3,65.83
PRD0012,A,SKU0019,1,4,68.54
PRD0012,A,SKU0094,1,4,68.54
PRD0012,B,SKU0026,2,2,71.16
PRD0012,B,SKU0050,2,2,71.16
PRD0012,B,SKU0061,2,3,71.16
PRD0012,C,SKU0055,3,1,66.28
PRD0012,C,SKU0057,3,3,66.28
PRD0012,C,SKU0081,3,1,66.28
PRD0012,D,SKU0032,4,2,69.93
PRD0012,D,SKU0090,4,1,69.93
PRD0012,E,SKU0023,5,6,70.65
PRD0012,E,SKU0083,5,3,70.65
PRD0013,A,SKU0004,1,2,69.39
PRD0013,A,SKU0010,1,3,69.39
PRD0013,A,SKU0047,1,3,69.39
PRD0013,B,SKU0045,2,4,66.66
PRD0013,B,SKU0050,2,2,66.66
PRD0013,C,SKU0042,3,2,68.68
PRD0013,C,SKU0054,3,1,68.68
PRD0013,C,SKU0058,3,1,68.68
PRD0013,D,SKU0008,4,2,71.5
PRD0013,D,SKU0013,4,2,71.5
