lot_id,process_id,order_id,product_id,machine_id,total_work_time,setup_time,downtime
LOT000001,A,PORD000001,PRD0007,MILL_01,60.83,20.97,0.8
LOT000001,B,PORD000001,PRD0007,LATHE_01,65.44,21.01,0.16
LOT000001,C,PORD000001,PRD0007,DRILL_02,58.73,17.12,1.83
LOT000001,D,PORD000001,PRD0007,GRIND_02,65.08,15.07,5.25
LOT000001,E,PORD000001,PRD0007,ADD_02,67.9,17.92,6.84
LOT000002,A,PORD000002,PRD0019,MILL_03,106.84,24.83,6.88
LOT000002,B,PORD000002,PRD0019,LATHE_01,107.7,15.65,24.42
LOT000002,C,PORD000002,PRD0019,DRILL_01,92.12,15.16,2.41
LOT000002,D,PORD000002,PRD0019,GRIND_01,88.66,23.33,3.91
LOT000002,E,PORD000002,PRD0019,ADD_02,95.28,18.12,8.2
LOT000003,A,PORD000003,PRD0018,MILL_03,77.51,15.88,0.36
LOT000003,B,PORD000003,PRD0018,LATHE_04,95.77,22.47,4.69
LOT000003,C,PORD000003,PRD0018,DRILL_01,85.59,16.41,0.75
LOT000003,D,PORD000003,PRD0018,GRIND_01,94.31,16.99,8.15
LOT000003,E,PORD000003,PRD0018,ADD_01,99.98,22.9,13.89
LOT000004,A,PORD000004,PRD0007,MILL_04,92.11,19.49,2.97
LOT000004,B,PORD000004,PRD0007,LATHE_01,98.69,22.3,7.1
LOT000004,C,PORD000004,PRD0007,DRILL_01,99.22,24.72,7.22
LOT000004,D,PORD000004,PRD0007,GRIND_02,95.37,19.94,4.28
LOT000004,E,PORD000004,PRD0007,ADD_01,117.28,17.02,29.26
LOT000005,A,PORD000005,PRD0004,MILL_03,71.88,22.56,0.62
LOT000005,B,PORD000005,PRD0004,LATHE_02,72.83,23.8,2.37
LOT000005,C,PORD000005,PRD0004,DRILL_02,72.19,23.83,1.22
LOT000005,D,PORD000005,PRD0004,GRIND_02,81.57,16.1,4.27
LOT000005,E,PORD000005,PRD0004,ADD_01,81.31,18.05,8.01
LOT000006,A,PORD000006,PRD0001,MILL_02,95.62,18.38,13.49
LOT000006,B,PORD000006,PRD0001,LATHE_01,78.1,19.04,2.03
LOT000006,C,PORD000006,PRD0001,DRILL_03,85.2,19.97,2.85
LOT000006,D,PORD000006,PRD0001,GRIND_01,86.49,24.77,0.33
LOT000006,E,PORD000006,PRD0001,ADD_01,88.31,17.4,7.34
LOT000007,A,PORD000007,PRD0004,MILL_03,80.66,23.03,7.87
LOT000007,B,PORD000007,PRD0004,LATHE_03,65.91,15.9,2.57
LOT000007,C,PORD000007,PRD0004,DRILL_01,76.2,23.58,2.2
LOT000007,D,PORD000007,PRD0004,GRIND_03,78.81,17.26,1.74
LOT000007,E,PORD000007,PRD0004,ADD_02,88.21,20.18,10.14
LOT000008,A,PORD000008,PRD0018,MILL_03,73.86,23.77,5.28
LOT000008,B,PORD000008,PRD0018,LATHE_01,73.88,20.17,7.97
LOT000008,C,PORD000008,PRD0018,DRILL_01,67.94,24.0,3.39
LOT000008,D,PORD000008,PRD0018,GRIND_03,79.77,23.56,8.88
LOT000008,E,PORD000008,PRD0018,ADD_01,86.93,16.62,33.19
LOT000009,A,PORD000009,PRD0003,MILL_04,73.2,24.94,0.14
LOT000009,B,PORD000009,PRD0003,LATHE_04,84.82,22.46,6.79
LOT000009,C,PORD000009,PRD0003,DRILL_01,80.6,20.43,6.36
LOT000009,D,PORD000009,PRD0003,GRIND_02,85.79,24.73,8.92
LOT000009,E,PORD000009,PRD0003,ADD_02,80.27,18.5,10.03
LOT000010,A,PORD000010,PRD0016,MILL_04,30.4,15.24,1.42
LOT000010,B,PORD000010,PRD0016,LATHE_01,51.13,17.8,20.71
LOT000010,C,PORD000010,PRD0016,DRILL_01,67.7,19.28,34.09
LOT000010,D,PORD000010,PRD0016,GRIND_03,32.92,18.06,2.68
LOT000010,E,PORD000010,PRD0016,ADD_02,69.96,20.57,35.88
LOT000011,A,PORD000011,PRD0018,MILL_02,87.14,22.41,5.62
LOT000011,B,PORD000011,PRD0018,LATHE_01,81.7,17.97,2.05
LOT000011,C,PORD000011,PRD0018,DRILL_02,72.1,15.05,1.94
LOT000011,D,PORD000011,PRD0018,GRIND_02,103.67,22.96,18.45
LOT000011,E,PORD000011,PRD0018,ADD_02,79.29,19.38,4.92
LOT000012,A,PORD000012,PRD0017,MILL_02,55.68,23.23,1.02
